altitude,north,east
19,1.8640840680909645,2.2215288850450357
110,1.909595408174996,2.047790364533677
219,2.176008692079518,1.7620970949395451
651,4.366330768241984,1.0886485301985038
798,2.966020352787251,1.4466247844039555
991,2.9001849185172803,1.3523784375702377
1533,4.069439221729421,0.49966430796110395
2140,3.471472739041883,1.5455992436880408
2448,3.782074302397267,1.302272617828627
2454,3.8042260651806146,1.2360679774997891
2912,4.962730758206611,0.6093467170257365
2985,5.692188348101071,0.2983149505847783
3186,5.599147092875791,-0.09773347604878725
4481,3.7924468971505823,-4.51966221440197
4996,2.61797194933022,-4.722946418552738
5280,1.953655642446369,-4.6025242672622015
5335,1.875509416748514,-4.418423296571713
5419,1.390576474687263,-4.279754323328191
5925,-0.2564461855904255,-4.893284720297412
5939,-0.4357787137382907,-4.9809734904587275
6163,-1.9153128026237454,-5.2622786764010865
6170,-1.9153128026237454,-5.2622786764010865
6436,-1.6484925679083817,-4.294469961887128
6516,-1.399943064165774,-4.065729875077062
6628,-0.9349640773450701,-4.8099731988935535
6678,-0.8447461112172471,-5.333517039213744
6751,-0.7068421917498554,-5.756767679519667
6830,-0.8760330042252931,-5.531054707332771
6881,-1.192240588022484,-5.164161343361747
6968,-1.5627271413943524,-4.53848916287672
7388,-0.6541135745123077,-4.654259923085381
7521,0.09075251347387409,-5.199208014813235
7534,-3.1840816777831187e-16,-5.2
7567,-0.09249775411760307,-5.2991927843288735
7650,-0.6337205857067669,-5.1612399885348745
8143,-2.6495963211660243,-4.24024048078213
8223,-2.4206789520772545,-4.028686313299928
8520,-1.6269465723032008,-3.6541818305704035
8979,-4.986048620327855,-5.735792809693067
9252,-6.490502389915839,-5.642107649318362
9767,-6.36377258120792,-7.320682928160888
9865,-5.055246194477206,-6.70853828439726
9921,-4.408389392193548,-6.067627457812106
10047,-4.723625008731653,-5.433908977603958
10152,-4.789230911630703,-5.509379935626235
10413,-8.90096500384116,-3.5962232967927554
10503,-9.208987683701903,-3.3517974045915535
10797,-11.639956448732288,-2.474149120731336
10803,-11.639956448732288,-2.474149120731336
11048,-9.699484522385713,-5.599999999999999
11268,-9.823216773581702,-7.402324784770194
12039,-15.316989718810309,-5.574928336208401
12539,-15.013984668619656,-4.590235764146967
12653,-14.277330491549684,-4.916079132303066
12745,-13.50500253139118,-4.388041320124253
12851,-13.675158010271407,-4.180915377535136
12915,-13.615467488630163,-4.688181424183057
13277,-11.807366046381842,-6.54492987332555
13543,-11.184248869537079,-9.384699101423474
13631,-12.04576240258305,-9.75446606127248
14321,-12.618681599723015,-18.02134497435782
14343,-12.246324586009354,-18.155922838955412
14765,-10.238951822668387,-9.54797704087498
15347,-15.918078669937001,-8.823535088483334
15406,-16.54108521228278,-9.549999999999999
15762,-20.604796159220154,-15.526827597322846
16478,-12.0365226738321,-18.534619551593874
16532,-11.910808843926906,-17.65850029542239
16743,-12.344170317131223,-13.237501999306986
16987,-19.960359517101093,-12.962409033357645
17329,-16.583920329912715,-19.763946632469633
17470,-13.353965458676763,-21.370812023141934
17936,-11.344545113764287,-20.46610114706186
18813,-6.283465381023126,-18.248508509066813
19124,-2.174192035967192,-20.686055423660086
19196,-1.3532755906360294,-19.352742575040587
19288,-2.339891393378832,-19.056886111513382
19577,-5.098735188519658,-19.028738777894645
20295,0.31414331587110256,-17.997258512815044
20461,-3.1394665313481678,-14.770028771080463
20644,-6.888677666373401,-14.772816928697395
20821,-7.321259575364404,-16.443818237566816
21484,-6.604467749870928,-26.489073327334705
21584,-5.0564383774784405,-26.013120361363097
21814,-5.488805725990304,-23.77462958075974
22708,2.6146722824297473,-29.885840942752367
22758,4.244779579281993,-30.203176096617895
23544,3.507693188871992,-19.8931166108466
23608,3.472963553338606,-19.69615506024416
24012,7.539983724772133,-15.45925759634567
24129,8.649999999999997,-14.98223948547079
24467,5.948907962451985,-15.49743507985355
24662,-0.5130226015267658,-14.691045157180707
24748,-2.6741819360707284,-15.166039396388005
25357,-5.021089474988902,-18.738961030007925
25553,-6.701480656497117,-17.457953975497674
26092,-5.821527342897265,-27.388132820546556
26601,1.897376085840209,-27.13374216706722
27193,2.2043045703143607,-31.523023988210447
27647,-3.9107641369778396,-27.826532731638128
27722,-3.8968468268818333,-27.72750592476397
28027,-1.036515052064282,-29.681907562467142
28490,6.628659939430897,-26.586102899962302
28900,3.8639312864937008,-24.395902012699903
29137,5.9010742283374755,-22.02310883939076
29636,-2.766434095296848,-22.53079764225801
30108,2.0278521873924786,-19.2937247701445
31059,3.242733252369523,-23.07324600167859
