altitude,north,east
19,-0.3,7.347880794884119e-17
53,-1.0875693444439798,-0.5071419140888394
746,-1.6178292833385006,-0.7890680642203394
903,-1.9126095119260709,-0.5847434094454735
977,-3.6191461227150814,-0.7692732560257096
1051,-4.9692873304047,-1.1472503771537115
1304,-6.085887834984997,-3.6567703318613844
1331,-5.954561032412511,-3.866937148606692
1467,-5.129163345616008,-4.153514580928927
1487,-5.191130815307403,-3.911797650488314
1756,-5.2622786764010865,-1.9153128026237447
1768,-5.200352165796243,-1.7906248495143617
1817,-4.755282581475767,-1.545084971874737
1881,-3.380118193277623,-1.5049255793804608
2052,-0.5032736131236721,-0.7461338152995376
2112,-0.6394818203498206,-0.2847156501530601
2431,-1.958890421642336,6.407241864952337
3097,0.34202014332566855,0.9396926207859084
3154,0.6575567201836165,1.3481910694487502
3393,1.3500000000000012,2.3382685902179836
3554,2.5996040074066173,-0.045376256736936946
3697,1.331479122813215,0.4326237921249262
3775,0.26045452356572535,0.7564148604794535
4190,-1.8895916011997191,-0.1986040802085416
4201,-1.9805361374831407,-0.2783462019201309
5078,-2.1472349809435634,0.8242462839541917
5277,-3.8857298072848527,3.146601955249189
5285,-3.9068266599067867,3.2782168094013517
5441,-3.131480259436183,4.642610406308233
5609,-3.7395364652458905,4.301844607269802
5897,-3.6739305623468392,4.226373649247524
5990,-3.792446897150582,4.519662214401971
6011,-3.792446897150582,4.519662214401971
6333,-1.791839747726502,4.667902132486009
6550,-2.7617382247711877,5.662402491684752
6703,-2.347357813929452,4.414737964294636
6730,-2.179154398749824,4.2768313161041664
6838,-1.5636875684405886,3.353338812035605
6884,-1.6996256472031785,2.8286520923169705
6923,-1.985989576401758,2.6354971831560667
7629,-1.5486563781478244,2.211710519580278
8016,-1.677341135890848,-1.0892780700300542
8041,-1.5542919229139418,-1.2586407820996748
8074,-1.608978143562175,-1.5003963921374968
8311,-2.821369211003871,-3.8832815729997474
8347,-2.61426736807213,-4.025618726138036
8443,-2.7231951750751353,-4.193352839727121
8514,-3.174040362379355,-4.368691769624717
8714,-4.528257481336632,-3.9363541739430437
9117,-2.6331448984893715,-5.167837840292533
9548,-6.466493065929325,-4.361704647071826
9770,-7.6287889762488,-4.583838866699482
9837,-8.44866403521217,-4.1206887798173275
9908,-9.320353859692505,-3.0283665448744848
9952,-9.852443428148495,-2.6399542600457115
10079,-11.15840085217396,-2.782101799396179
10085,-11.15840085217396,-2.782101799396179
10548,-14.410293813882735,-6.719630361677122
11064,-13.418729087126785,-8.714224560240433
11159,-12.29898685472831,-9.267951356541543
11255,-12.614941482050474,-8.83307711980611
12574,-18.04209831908944,-6.566786751852839
12724,-18.265420838893977,-5.584299560204273
13549,-18.446341100608546,-10.649999999999999
13795,-18.819152896999444,-12.693678908785955
14372,-16.455458286431334,-15.344963101406215
14399,-15.825475607450326,-15.28248415009794
14505,-14.935764085368715,-16.01664606545983
15285,-20.17839190817742,-11.649999999999999
15867,-23.39890884567733,-15.195429076919256
15894,-23.213052031541167,-15.657401297180913
16018,-21.4492285362124,-17.369242792975513
16360,-15.733009776245938,-19.42864903642427
16386,-15.355417541616035,-18.96236145955009
16768,-13.755483517788385,-11.138970921582121
16772,-13.755483517788385,-11.138970921582121
16827,-14.928336109428548,-9.694574823267482
16931,-17.616363307463676,-8.592074477065918
17170,-13.175155571969087,-16.86343012718385
17840,-15.68035581757302,-14.118655794171909
18119,-9.061619418387805,-14.501622444274885
18292,-10.0691262567974,-12.434335383311534
18799,-12.397611703681799,-15.309775440702326
18817,-12.523475781891765,-15.46520463299372
18982,-10.577978643931441,-20.76045201358897
19242,-3.021478291404589,-17.13565490241242
19388,-4.697058314499201,-14.456059047686333
19399,-4.697058314499201,-14.456059047686333
19632,-5.116504832647894,-16.73533322935312
20001,-4.838437911993354,-19.40591452551993
20601,3.5320596757551495,-14.166317603629548
20820,2.9731371786939587,-13.987510690493423
21355,0.842608895511396,-16.07793550954864
22355,-2.7858113324975555,-14.331756878335893
22602,0.6803674311582699,-12.98218395180946
22632,0.8859072165503916,-12.669063438299766
23263,-3.4761691105894132,-9.055730137022856
23653,-2.8275989951215283,-13.302807369979755
23914,-1.547740661245373,-12.605336125844788
24036,-3.8313592458562886,-13.361537573542632
24091,-5.096100135552466,-14.001420049710035
24139,-5.9187841759714095,-14.649504902155241
25171,-1.840227085417727,-14.987446889783962
25731,-6.507786289212803,-14.616727322281614
26141,-1.2416652326454292,-17.75664009462487
26188,-0.9054120430029307,-17.27629095125413
26364,-1.2904947642663167,-18.454934929806747
26641,-1.3409882450663517e-15,-21.9
27067,-4.50309229088646,-23.166401529364872
27479,6.169042969649744,-20.178030350820052
27854,-3.10356015140946,-22.08297793293702
28706,-1.7020579593566556,-24.34056282633971
29013,2.6999581586252677,-19.211200533586464
29227,-0.26702181849043904,-15.297669735892788
29309,-1.5156627173809751,-14.420567482839962
29470,-3.9858132945788194,-14.875257724851652
30031,4.926428090130644,-21.33870441879665
30375,7.142248623417818,-15.316601600919384
30521,5.319413626505951,-13.166010734848381
30623,2.7444343187944233,-12.911548329686234
30845,-3.2018400385934958,-15.063473051300607
31235,-5.253288904374107,-16.16796077701761
31593,-8.109866215597933,-16.62768985653459
32634,-7.923273197986167,-25.91585888659826
33111,-5.016408511868188,-21.728452444710747
