altitude,north,east
19,-4.24352447854375,-2.4499999999999997
157,-6.908495156079293,-2.651922826635222
361,-8.141261723101689,-5.0872249366387665
815,-4.9692873304047,-1.1472503771537115
831,-4.90813591723832,-0.954044976882724
885,-4.788307441247156,-0.33483107397180145
1291,-0.7033160312806928,-1.6569087362143926
1295,-0.5860226780228822,-1.7019334360787701
1515,3.2451434909837555,-1.3111230769556927
1808,4.728637658290616,1.9104936264211512
2087,5.909902774349967,4.453431171325159
2130,4.808326112068524,4.808326112068523
2193,3.2967054176750903,5.947414008547892
2262,1.844598645619695,7.989834531238928
2278,1.528103963468987,8.66630822650743
2416,0.6856010267825704,13.082046905284917
2678,0.2687670591341659,15.397654505408426
3106,0.3228695190897447,18.49718236039324
3324,-1.325373001138379,18.953716954936663
3592,-1.63230148561253,23.342998776079888
4394,-2.492654242583016,28.491168365423924
4920,-8.541030329882792,21.139791884122754
4934,-8.206626044587377,21.37899176678592
5081,-9.542361998786165,26.21742411992684
5806,-5.381345597383935,33.976478916472736
5807,-5.396989043887959,34.075247750532256
6166,-7.422469920147605,38.185297436114126
6709,-6.179161369089112,39.01368945350794
7526,-8.818081330279506,38.195306539581225
7800,-8.15013828005617,38.34338594876518
8302,-11.163312910588475,38.93109868550191
8927,0.7399820329408203,42.39354227463099
9489,-2.1824093753307627,41.64285159926573
9626,-2.1300734190878186,40.644222064511155
10165,-8.128463203040821,41.81731801487048
10224,-9.064949719654312,42.647235391993924
10899,-1.4971884085373048,42.87386647911921
11835,0.7539439580906472,43.193420430756106
12049,2.2609133096951943,43.140795901397595
12382,6.123616442242897,43.57179502462909
12688,3.895861700820324,44.529903004701026
13750,5.216007897740298,42.48097529024858
14139,7.918573308126601,40.737528113078056
14183,7.899492408588946,40.63936539473329
15469,10.015566477826246,40.170243067826256
16545,0.5497508027744302,31.495202397426326
16552,0.5497508027744302,31.495202397426326
16572,5.749716721996823e-15,31.3
16853,-8.080191313028893,32.40787725761828
17396,-11.031969143670983,21.651458537777344
17686,-6.902044874491714,20.04499380270552
17839,-5.841397577588396,15.21736095190439
17961,-2.6994126521263793,11.692440777422823
18373,3.9758649556096968,6.122295146001595
18537,4.6947156278589075,8.82947592858927
18614,5.381386784734339,9.708278749247295
18825,3.081964366089586,8.028791667875934
19010,7.281152949374528,5.290067270632258
19503,9.72876442761102,8.163402643019047
19635,8.988008697169949,10.339521249051977
19706,7.7432818907391265,11.058552597901386
20056,-0.11344064184234035,6.499010018516543
20089,-0.09773347604878552,5.599147092875791
20139,0.8508760705679587,4.82555798975982
20246,4.826934430686525,4.501189176412489
20386,5.350642743437239,4.81774036578378
20642,2.872969203935616,7.8934180146016315
20673,2.6371020511029686,7.658700462354466
20752,2.8932495688079127,5.932040705574501
20970,6.1520748540052415,1.7640790772287938
21010,7.238292245430162,1.5385465120514203
21130,10.074421074070404,1.5956315434103534
21169,9.585846487191295,2.0375345700140435
21401,2.9145559532826275,4.664264528860342
21730,2.9977047866916133,4.125986671312231
21921,-1.8127067596260455,4.980370890165314
21932,-1.9854149451043333,4.914074429203973
22006,-2.9389262614623646,4.045084971874738
22300,-1.540723237962305,0.7184510449591887
23548,4.285836503510561,-2.5751903745502718
23668,5.312592044589875,-1.4235047480638656
23743,4.948508204007582,-1.2338016675583054
23839,3.9208494994484453,-1.19872398936322
24133,0.992206775958033,-5.104461353927853
24316,2.928503830145762,-6.5775272950267265
24561,5.7247447850283795,-1.4273391840380396
24672,4.8063084796915945,-1.378186779084996
25901,-1.9536556424463676,4.602524267262202
26439,-2.1480186192664794,4.404090826865919
27632,-2.777659078576638,-4.277219896521663
27818,-2.239876787225707,-4.803431271294245
28309,-5.727564927611035,-5.727564927611034
28417,-3.100000000000001,-5.36935750346352
28468,-1.6603975877314994,-4.822144735556515
28823,0.2371720107300261,-3.3917177708834023
29265,-0.6093467170257374,-4.96273075820661
29495,-3.1576144110055573,-10.328091364400784
29971,-0.3487823687206262,-4.987820251299121
30361,2.0073918190765747,-2.229434476432183
30614,0.248073620235299,0.8651355263444871
31042,-2.7371375378626737,-1.4553618446362615
31397,-3.139873524160857,-4.018854843394282
31473,-3.2325075118225497,-5.173093386554198
31775,3.4049287480466,-6.682548931412759
32210,0.3660541195401646,-4.184017731985332
