altitude,north,east
19,-2.598076211353316,-1.4999999999999998
32,-1.7713593782743697,-2.0377158666014847
94,-3.205392292293743,-3.437362397610101
111,-3.5355339059327378,-3.5355339059327373
256,-4.542986693721195,-2.729701797023287
356,-4.667902132486009,-1.7918397477265013
785,-2.067226306488084,-1.0082536376148779
1524,-2.1554976886431083,-1.453901549023942
1998,-3.348346360241507,0.5904038040675633
2125,-3.6871237598487863,0.9193032032787378
2716,0.5118512423016182,4.168693836893553
2751,0.6215336513662505,5.061985373370742
2899,0.19194723186375418,5.496649548605027
3177,1.4057505146666942,4.902434649285427
3448,2.861564026859307,4.5794597192447
3485,3.2120280435658595,4.587251448018352
4775,2.757461708434182,0.48621489746740526
5300,0.08290375725550417,-0.05591929034707469
5904,-1.0114378022229624,2.5033964073303263
6188,-0.9724297949348077,5.514923416868365
6324,-0.5749065479720914,5.469870424525504
7056,-0.5288577836482488,3.7630186612179672
7632,-0.7515347451843536,5.34744757120448
8162,-0.7316992428735709,6.961653267577914
8980,-3.4732918522949863,3.596699001693256
9315,-8.113776940828174,2.1740799788611738
9582,-6.291366068953815,-0.32971652433054616
9760,-5.066724336883222,1.1697454825880997
9822,-5.040599536364313,1.6377900701872223
10663,-3.1945420401891713,-2.407260092608193
11046,-4.201111919237408,-1.6126557729538513
11129,-4.0657298750770625,-1.3999430641657737
11426,-4.044573208346252,-1.9726701605508483
11592,-4.285836503510562,-2.575190374550271
11955,-5.022519540362261,-0.8856057061013446
12123,-4.455032620941839,-2.2699524986977337
12545,-4.213244437154379,-3.5353318532759657
12557,-4.213244437154379,-3.5353318532759657
12731,-4.285636564983039,-2.375567139207052
12809,-3.6409636633390865,-1.3976350032266711
13182,-4.947976260435169,-1.8993501325900914
13240,-5.546567584585605,-1.6957558873918732
13310,-5.891231062095619,-2.5006792223313523
13822,-6.761794123183321,-6.5297886823145745
13985,-7.587037345449282,-5.717242719944458
14229,-7.769938817158558,-4.131349752515839
14357,-7.800222436389222,-4.686846481681493
14490,-8.218971565865155,-5.337462543147266
14894,-9.389149505214892,-3.9854575105905923
15219,-13.615467488630163,-4.688181424183057
15244,-13.719512263474263,-4.993494092554763
15493,-13.862277207885153,-7.370703535738485
15847,-11.62252753543069,-10.103309046453813
16326,-5.694020219921861,-14.093194589415168
16685,-7.100000000000001,-12.297560733739028
16742,-6.901231972952595,-12.979329615026224
16773,-7.17518237964579,-12.944371665663057
17140,-8.932080174246444,-13.754197314304953
17598,-6.518154725436868,-16.132999069462098
18186,-3.121071643186969,-9.60567081458105
18491,-4.630707577725586,-16.149196491763757
18518,-4.088480035634383,-16.39799777406434
18804,-0.8998585112992156,-12.868576248351733
18990,1.5599275955858865,-12.704590741008923
19138,-0.26353133720298233,-15.097700196861508
19488,-5.451775576455023,-11.691370452772784
19756,-1.9959522318504908,-9.390216967044534
19913,-6.643991166339699,-11.05745817905725
20473,-1.547740661245373,-12.605336125844788
20823,1.0981623586204938,-12.552053195955994
21237,3.0147195168575105,-14.183140210640182
21601,4.152523659749134,-5.51058501932632
21858,3.6254091385619347,-11.85817897394164
21872,3.596171968089661,-11.762548498345337
22029,1.1263281482896619,-7.111356052284992
22035,1.0950412552816158,-6.913818384165964
22162,-0.9676875823986707,-3.881182905103986
22248,-1.910493626421151,-4.728637658290616
22651,8.064321310237448,-10.701715834633722
22762,8.047580648737481,-8.629973679106213
22819,6.6918020957031725,-7.698037718272275
22958,2.7720887912777497,-6.8611605237942275
23073,-1.6305599841458807,-6.085332705621131
23110,-2.7658091729154415,-6.212109111969686
23222,-3.477507043554536,-8.192493195726719
23434,3.483579252691576,-10.11704875891269
23699,1.1448539722592688,-5.889763100685984
