altitude,north,east
19,-3.2889241727506793,1.1970705016398402
31,-2.503396407330326,1.0114378022229633
103,-5.592325394625613,0.2930813549604884
127,-5.999086170938348,-0.10471443862370107
204,-6.859756131737131,-2.4967470462773815
417,-8.066139304626185,-3.7613025294922253
642,-7.044707580885329,-4.932757352618996
788,-8.251936305644408,-3.333998681401617
1005,-9.079702767117242,-2.432899023963695
1126,-8.308865795825096,-3.1894747509531727
1518,-5.524240449967881,-2.81474109838519
1944,-4.596266658713868,-3.8567256581192355
2075,-3.450755101897363,-5.743020914704153
2146,-2.580249236726163,-6.721779070779853
3162,-5.51091059616309e-16,-9.0
3193,-5.327213576290986e-16,-8.7
3562,2.294500754307423,-9.9385746608094
3660,2.86662850049679,-9.997121637758516
3701,3.069902899588735,-10.041199937611873
3868,2.923717047227367,-9.563047559630355
3895,2.701246087006591,-9.420364620195526
4123,-1.1829713581605565,-8.417278584303348
4128,-1.345336399345986,-8.494119729118184
4416,-0.15009069536063893,-8.598690178344965
4713,1.345336399345985,-8.494119729118184
4738,1.2386405985445816,-8.813385811799977
4914,0.40832411141926117,-11.69287267612342
5093,-3.7460659341591196,-9.271838545667874
5183,-4.449106897447559,-8.731863937046006
5466,-5.6605863885187375,-6.070235723439115
5704,-5.20201377834176,-4.683914244512008
5773,-4.753799060524608,-4.43298934040624
5896,-3.3841009744711728,-4.8329970613050515
6064,-0.8760330042252931,-5.531054707332771
6520,1.7176454587576413,-6.889099656559575
6865,2.535709570444196,-5.4378467222199
7122,1.3781867790849953,-4.8063084796915945
7569,2.144924440733138,-1.7998053071223103
7624,2.6354971831560667,-1.9859895764017588
7840,5.061985373370741,-0.6215336513662525
7870,5.260494603699006,-0.645907520047282
8210,4.416729559300637,-2.5499999999999994
8265,4.325045290397772,-2.702588247589345
8840,2.3755409284380766,-1.6633716654180333
9600,4.755282581475768,1.5450849718747364
9609,4.822144735556515,1.6603975877314994
9665,4.679622242152313,2.4881992827652213
9690,4.4768028917972265,3.0196416787420324
9739,4.172170841964176,4.029018548662185
9748,4.1679502227539835,4.316038802031907
9806,3.940233442084212,5.043268823083022
9956,4.55589491740987,5.831279576689744
9969,4.782834971978767,5.906309307072976
10175,10.688481854418429,4.758818723986862
10264,11.823518860041323,3.3903394765490877
10418,13.233183820160235,3.5458209179045346
11029,14.229032256475405,6.635106709328978
11031,14.200945931526839,6.926264119267424
11333,16.599414745747826,8.826065380374748
11574,13.25256886595832,11.12022564757713
12526,13.78858223313768,13.788582233137676
13193,9.485554829774369,15.180060921200024
13350,8.03563184538998,15.770815478134109
13410,8.081030895363936,15.859916130552948
14021,7.117525274902333,17.61649323676896
14333,8.748198018032472,18.760571191658656
14427,8.24442681112368,19.422652407846492
15423,3.1130458543005974,19.654997977843237
16043,1.3044460590151483,18.65444773985871
16318,1.3797757151330243,13.127689018861208
16681,3.0343134066688893,7.510189221990977
16868,2.633144898489372,5.167837840292533
17059,-2.3233670779821103,4.763608445385585
17099,-2.723195175075133,4.193352839727122
17282,0.11238197802477369,0.2781551563700362
17458,4.414737964294635,-2.3473578139294533
17649,8.403554688714893,-2.2517256923919327
17894,3.4914741759093846,-0.24414765810443934
18438,3.9210377912882475,-1.505145388090261
18478,5.006298635583086,-0.9731258764203793
18674,5.230810839623345,1.69959346906221
18700,4.9166965931164475,1.6929544031772152
18716,4.7275928779965835,1.6278407722857837
18966,-0.09386067902413855,-0.5926130043570826
19169,-3.6859203829394587,-0.32247624816633524
19198,-4.489038226169209,-0.31390413184856386
19221,-5.196832300499298,-0.18147738285300505
19383,-9.41545951132202,3.0592682443119816
19580,-13.49186621626725,-2.3789800340369456
19771,-15.49248403008524,-3.576721764067454
20000,-8.227681403987704,-9.80536887192292
20170,-3.4609903369994113,-10.651832982505718
20287,-1.8627985961174411,-7.471277092325173
20300,-1.8634971247381493,-6.954665949281292
20597,-2.90018491851728,-1.3523784375702383
20693,-4.228616793536588,-1.5390906449655093
20800,-6.294882287801464,-5.097495167503682
20942,-5.7684264389926065,-9.600273767863657
21027,-6.050000000000002,-10.478907385791707
21152,-6.300000000000002,-10.911920087683926
21365,0.5547611361752047,-10.585473068398482
21558,0.401344212078761,-11.492994510719601
21823,6.991453695989019,-13.721500472500866
22091,5.172779532111115,-10.60576974633017
22181,6.7682019489423455,-9.665994122610103
22376,8.38670567945424,-5.446390350150273
22387,8.05123745227607,-5.228534736144262
22458,5.285706657520948,-4.435234506837123
22578,1.2164495119818481,-4.539851383558621
22738,-1.575986671312232,-4.850388233105282
23159,-4.013721034907364,-10.45610077676866
23662,-0.14834545471691057,-8.498705408829325
23767,-0.846680552467993,-8.055627352483013
23867,-1.4273391840380394,-5.7247447850283795
24017,-1.1402496484186733,-3.729588548255838
24460,-8.825720440395285,-6.895408523647372
24529,-7.636753236814714,-7.636753236814713
24720,-6.245698675651501e-16,-10.2
24943,0.8896462068575758,-7.245586906981651
25026,-0.3506509068277246,-6.690817882855645
25125,-2.474317973874391,-7.185941174554807
25373,-1.507391063474705,-7.754854749236546
25392,-1.6632935265420756,-7.825180805870445
25675,-2.7175999735764678,-10.142221176035218
26274,1.003473247369474,-9.547410195535424
26472,5.043534374139924,-11.32796367476825
26623,8.99902653561155,-10.724622203665692
26866,7.449503851440465,-9.534930118641336
27058,9.644711531372375,-6.263348902672814
27292,9.802594478220618,-3.762863470225652
27536,6.909495686401226,-3.829995999946064
27769,5.104461353927853,0.9922067759580326
27963,1.4587825779638943,1.5106135807111676
