altitude,north,east
19,-2.68467875173176,-1.5499999999999998
64,-2.2652475842498525,-1.6457987064189248
584,-2.8531695488854605,-0.9270509831248421
757,-2.6572186321765483,-1.5966180322211678
1305,-2.361473209276369,-1.3089859746651102
1332,-2.3213052031541164,-1.5657401297180913
1498,-2.8054252213207396,-2.709167644790089
1769,-1.5367658662762942,-2.4593394788536354
2162,-3.0192140446035265,1.960700526054097
3157,-0.6100944136568996,3.8519845283210374
3198,-0.28600154235091335,4.0900126060652795
4325,2.192031021678298,2.192031021678297
4979,3.964183272437243,2.880147736233118
4990,4.095760221444959,2.8678821817552307
5088,4.853487850015502,2.3672041926610183
5140,4.583849636125751,2.235692848624295
5245,3.5938597952128175,2.7081676041842178
5424,3.613305274337834,4.01298205757793
5654,4.73761543394987,4.737615433949868
5714,4.750827305147893,5.2763282608895
5884,4.818304961033219,3.9017864245089933
6059,4.99682747016285,3.498816261741381
6134,5.282754963085075,3.0500000000000007
6203,5.346039145130208,2.72394299843728
6265,5.392764277795002,2.630226880734465
6306,5.481272745855605,2.4404198584548014
6405,5.516127794511891,1.7922985673746943
6416,5.516127794511891,1.7922985673746943
6635,4.285836503510562,2.575190374550271
6688,3.4286692028084493,2.0601522996402166
6728,2.6488427785767805,1.4084146883576727
6740,2.4470310249989553,1.141069306699888
6762,2.174692723878428,0.7488067552514605
6810,1.8997106207971433,-0.033159572230838534
7093,4.145187862775208,-2.7959645173537346
7434,0.22322071598120108,-3.192204960831438
7459,0.22322071598120108,-3.192204960831438
7617,-0.10120854043725314,-2.8982333983553774
7731,-0.6073678467284354,-2.6307991749201354
7835,-1.4421066097481516,-2.400068441965914
8265,-1.1024625250033537,-0.6888950435031664
8787,1.0692078290260414,-0.5447885996874562
8876,-0.2736161146605351,-0.7517540966287267
9199,1.7453146328868132,-3.148630945701825
9363,-0.04188577544948063,-2.399634468375339
9709,-2.585778196367765,-3.3096451651482326
11332,-2.8429563482495164,-8.749719949915411
11618,-2.9160660060108263,-6.253523730552885
11827,-3.3861381142911204,-4.334059144836971
12068,-4.1012193308819755,-4.1012193308819755
12259,-4.603774722167368,-4.445813570937583
12496,-5.553784032778524,-6.168102051462372
12549,-5.796986060531237,-6.216506463762949
13447,-9.06099033699941,-6.583194825675699
13811,-11.741387951235936,-7.624946490210379
14371,-17.523774851312282,-7.080064615560737
14817,-19.16972946403253,-6.977210923843641
15218,-19.194027084666132,-6.609033535480282
15378,-19.76133823002572,-6.804374428154574
16014,-14.562305898749054,-10.580134541264517
16125,-11.116573269018726,-11.921065336392479
16383,-5.506716923213905,-13.629602662131774
16742,-7.52061503333251,-8.962719984492042
16744,-7.52061503333251,-8.962719984492042
16976,-9.465498834186885,-6.877087451821935
17213,-11.140467802330289,-7.800639534374226
17439,-8.346550582553117,-11.488041320124253
17462,-8.464107633011613,-11.649844718999244
17771,-11.322931438481655,-11.725238745520013
17837,-11.24878316951444,-13.405777754582115
18094,-3.4345619167778083,-17.66928930205795
18526,-1.8999951918989475,-21.717044418400054
18747,3.8463662801285476,-18.095730613575405
18754,3.8255751110467715,-17.997915853502022
18789,3.6176634202290123,-17.019768252768216
19177,2.198934995169033,-15.646235486116812
19819,-0.2582956152717973,-14.79774588831459
20007,3.0562079269379736,-17.33261645301486
20032,3.0041134736378945,-17.0371741271112
20478,-3.522793735874401,-10.84204428576475
20797,-6.997632523482762,-9.9936549403257
20912,-9.735753584873759,-8.463161473977545
21077,-10.706089701741732,-11.890317207638308
21370,-3.39676092059236,-14.712987978257052
21910,-4.327506486326887,-15.091808626231606
22414,3.798173760914784,-15.233642902533145
