UTC,Pack_count,IMUTemp,q0,q1,q2,q3,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AccX,AccY,AccZ,RealAccX,RealAccY,RealAccZ,PosX,PosY,PosZ,Long,Lat,Height,VelX,VelY,VelZ,RSSI,SNR,
22:47:22:97,10296,24.8594,0.99968  -0.0013011   5.972e-05    0.025412,-0.14887     0.01063      2.9123,-0.0026016   -0.044861  -0.0048981,0.70117      1.5479     0.43652,0.782715       1.4834      10.2266,0  0  0,24.78579      120.9973      144.6704,0.1433105    -0.5083008      144.6704,-35,6.25,
22:47:23:31,10297,24.8281,0.99983  0.00035664   0.0011827    0.018409,0.043355     0.13475      2.1096,0.01947     0.15686   -0.043304,-0.28027     0.11957    -0.26099,-0.31201     0.13892      9.5234,0  0  0,24.78579      120.9973       144.702,0.1694336    -0.5698242       144.702,-35,6.25,
22:47:23:65,10298,24.8281,0.99951   0.0015514   0.0016895    0.031112,0.18371     0.18798       3.566,-0.0085831      0.1004   -0.023041,0.27197     0.73633     -0.1051,0.27686     0.74854      9.6797,0  0  0,24.7858      120.9973      144.7227,0.2070313    -0.6416016      144.7227,-37,6.75,
22:47:23:99,10299,24.8281,0.99978    0.002468    0.002454    0.020915,0.28864     0.27523      2.3975,-0.021164     0.19446   -0.079712,0.96777      1.6484     0.49561,0.966309      1.65625      10.2813,0  0  0,24.7858      120.9973      144.7538,0.2150879      -0.59375      144.7538,-38,7,
22:47:24:33,10300,24.8281,0.99986   0.0014873   0.0038775    0.016236,0.17762      0.4415      1.8613,0.12317    0.027298   -0.070557,-0.12732    -0.23926    -0.34302,-0.20923    -0.19397      9.4453,0  0  0,24.7858      120.9973      144.7831,0.2116699    -0.5844727      144.7831,-39,6.25,
22:47:24:67,10301,24.8281,0.9999  0.00041613   0.0022957    0.013695,0.051284     0.26239      1.5695,-0.0094833  0.00042248   0.0078354,-1.0449    -0.59033    -0.82324,-1.1006    -0.55371      8.9609,0  0  0,24.7858      120.9973      144.7947,0.2208252     -0.597168      144.7947,-41,6.75,
22:47:25:01,10302,24.8281,0.99986   0.0011879   0.0008977    0.016563,0.13781      0.1006      1.8982,0.088684    0.058594   0.0086975,-1.1592       -1.75     -1.9385,-1.2344     -1.6846      7.8555,0  0  0,24.7858      120.9973      144.8039,0.2338867    -0.6098633      144.8039,-43,6.25,
22:47:25:35,10303,24.8281,0.99978   0.0047483  0.00083448    0.020642,0.54597    0.084371       2.366,0.17871    0.070679  -0.0015478,-0.44385     0.75684    -0.92578,-0.43042       0.875      8.8516,0  0  0,24.7858      120.9973      144.8209,0.2498779    -0.5546875      144.8209,-43,6.5,
22:47:25:69,10304,24.8281,0.99976  8.1671e-05   0.0035856    0.021574,0.018221     0.41058      2.4724,-0.10962    0.041077   -0.017502,0.55371     0.10358   -0.035248,0.48511    0.072144      9.7578,0  0  0,24.78581      120.9973       144.795,0.2709961    -0.5371094       144.795,-43,5.75,
22:47:26:03,10305,24.8281,0.99976  -0.0022901   0.0017321    0.021716,-0.25806     0.20414      2.4883,0.0060501   -0.039337  -0.0086212,1.585      1.2109      1.9658,1.59961      1.08887      11.7656,0  0  0,24.78581      120.9973      144.7373,0.2854004    -0.5756836      144.7373,-44,6.5,
