UTCHr,UTCMin,UTCSec,UTCSubsec,Pack_count,IMUTemp,q0,q1,q2,q3,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AccX,AccY,AccZ,RealAccX,RealAccY,RealAccZ,PosX,PosY,PosZ,Long,Lat,Height,VelX,VelY,VelZ,RSSI,SNR,
21:49:42:69,119,25.7656,1  0.00028778  0.00013584  -0.0031359,0.032928    0.015669    -0.35934,-0.0029564    0.011696   -0.014458,0.014679 -1.1563e-05    0.011208,0.011932   0.0056458      9.7969,0  0  0,24.78579      120.9973      144.0837,0.02119446   0.003578186      144.0837,-33,6.5,
21:49:43:03,120,25.7656,0.99999  0.00030079  0.00016014  -0.0032483,0.034408    0.018462    -0.37222,-0.0026417    0.011429   -0.014847,0.011101 -0.00033307   0.0059395,0.0079117   0.0055847      9.7969,0  0  0,24.78579      120.9973      144.0558,0.02326965  -0.002101898      144.0558,-33,6.5,
21:49:43:37,121,25.7969,0.99999  0.00033009  0.00015381  -0.0032796,0.037768    0.017749    -0.37581,-0.0026493     0.01265   -0.016144,-0.004425  -0.0074463  -0.0052223,-0.0075607  -0.0010605      9.7813,0  0  0,24.78579      120.9973      144.0582,0.02441406  -0.004192352      144.0582,-33,6.5,
21:49:43:71,122,25.7969,0.99999  0.00034282  0.00013986  -0.0033004,0.039232    0.016156    -0.37819,-0.0011177   0.0089874  -0.0096359,0.011307  -0.0048294    0.004879,0.0087814   0.0020638      9.7969,0  0  0,24.78579      120.9973      144.0673,0.02467346  -0.006267548      144.0673,-35,6.25,
21:49:44:05,123,25.7969,0.99999  0.00036746  0.00015809  -0.0033685,0.042047    0.018258      -0.386,-0.0020752   0.0082855  -0.0098419,-0.0052071  -0.0058365    0.010483,-0.0080185   0.0013418      9.7969,0  0  0,24.78579      120.9973      144.0723,0.0247345   -0.01165771      144.0723,-37,6,
21:49:44:39,124,25.8125,0.99999  0.00038146  0.00016565  -0.0033413,0.043648    0.019128    -0.38288,-0.0017815     0.01033   -0.010941,0.0018339  -0.0058899   0.0090561,-0.0013266   0.0016356      9.7969,0  0  0,24.78579      120.9973      144.0785,0.02523804   -0.01387787      144.0785,-38,6.75,
21:49:44:73,125,25.8125,0.99999  0.00035183  9.6741e-05  -0.0033309,0.04028     0.01122    -0.38169,-0.0020447    0.012955   -0.013451,-0.0025291    0.020126   0.0063286,-0.0047684    0.027008      9.7969,0  0  0,24.78579      120.9973       144.054,0.02223206   -0.01205444       144.054,-42,6,
21:49:45:07,126,25.8125,0.99999  0.00034664  0.00014321  -0.0034226,0.039666    0.016547     -0.3922,-0.0019627    0.012001   -0.016342,-0.0041313   -0.012871  -0.0004158,-0.0069618  -0.0060921      9.7891,0  0  0,24.78579      120.9973      144.0266,0.02119446  -0.008338928      144.0266,-46,5.5,
21:49:45:41,127,25.8125,0.99999  0.00033898  0.00013263  -0.0033856,0.038793     0.01533    -0.38796,-0.0025291    0.011398   -0.012604,0.0018415  -0.0089417    0.010712,-0.00075245  -0.0023193      9.7969,0  0  0,24.78579      120.9973      144.0011,0.02076721  -0.007202148      144.0011,-39,-1,
21:49:45:75,128,25.8125,0.99999  0.00029922  0.00014971  -0.0033816,0.034229    0.017271     -0.3875,-0.0017843   0.0093842   -0.010628,0.003994  -0.0014124   0.0019102,0.0012197   0.0045128      9.7891,0  0  0,24.78579      120.9973      143.9492,0.01852417  -0.004062653      143.9492,-47,5.75,
21:49:46:09,129,25.8125,0.99999  0.00029199  0.00018904  -0.0035286,0.033383    0.021781    -0.40435,-0.0020237    0.010582   -0.012344,-0.0059471  -0.0053329   0.0080032,-0.0095825   0.0003581      9.7969,0  0  0,24.78579      120.9973      143.9282,0.01713562  -0.004859924      143.9282,-46,6.25,
21:49:46:43,130,25.8125,0.99999   0.0002728  0.00014835  -0.0035224,0.031201     0.01711    -0.40364,-0.0024147    0.014046   -0.016586,0.0002414  -0.0037098   0.0013475,-0.0029469   0.0016108      9.7891,0  0  0,24.78579      120.9973      143.9227,0.0151062  -0.003093719      143.9227,-40,6.25,
21:49:46:78,131,25.8125,0.99999  0.00028046  0.00013729  -0.0035322,0.032082    0.015846    -0.40476,-0.0024605     0.01281   -0.016312,-0.002924  -0.0034199   0.0072861,-0.0057793   0.0020275      9.7969,0  0  0,24.78579      120.9973      143.8907,0.01180267  -0.003772736      143.8907,-37,6.25,
21:49:47:12,132,25.8125,0.99999  0.00029324  0.00014475  -0.0035892,0.033543    0.016707    -0.41129,-0.0019512   0.0099792   -0.012161,-0.013237   -0.009964   0.0076065,-0.015915  -0.0042877      9.7969,0  0  0,24.78579      120.9973      143.9024,0.008987427  -0.007827759      143.9024,-38,6.5,
21:49:47:46,133,25.8125,0.99999  0.00028189  0.00017445  -0.0035913,0.03223    0.020106    -0.41153,-0.0021477    0.010712   -0.012733,-0.0040703  -0.0062561    0.013443,-0.007431 -0.00075626      9.8047,0  0  0,24.78579      120.9973      143.8865,0.007396698   -0.00944519      143.8865,-36,6.5,
21:49:47:80,134,25.8125,0.99999  0.00026477  0.00020942    -0.00381,0.030248    0.024113    -0.43659,-0.0027199    0.012016   -0.015167,-0.0065346 -0.00079489   0.0077744,-0.010742   0.0042839      9.7969,0  0  0,24.78579      120.9973      143.8587,0.004138947   -0.01041412      143.8587,-51,6,
21:49:48:14,135,25.8594,0.99999  0.00027326  0.00015714  -0.0038555,0.031244    0.018128     -0.4418,-0.0024986    0.012955   -0.015839,0.00054026   0.0019989   0.0040474,-0.002758   0.0073204      9.7969,0  0  0,24.78579      120.9973      143.8824,0.002403259   -0.01281738      143.8824,-56,6,
21:49:48:48,136,25.8594,0.99999  0.00025427  0.00019899  -0.0039184,0.029047    0.022917    -0.44901,-0.0020332    0.011154    -0.01339,-0.0070343   0.0015993   0.0042419,-0.010971   0.0065346      9.7969,0  0  0,24.78579      120.9973      143.9089,0.001365662   -0.01413727      143.9089,-51,6.25,
21:49:48:82,137,25.8594,0.99999  0.00026835  0.00015026  -0.0038881,0.030683    0.017338    -0.44554,-0.0020485   0.0089264   -0.010803,-0.015671  -0.0033913   0.0066452,-0.018402   0.0017557      9.7969,0  0  0,24.78579      120.9973      143.8721,-0.001054764   -0.01515198      143.8721,-50,6.5,
21:49:49:16,138,25.875,0.99999  0.00026828  0.00014424  -0.0038624,0.030678    0.016648     -0.4426,-0.0019464   0.0092773   -0.011147,-0.011772    0.001688  -0.0007534,-0.01445   0.0068703      9.7891,0  0  0,24.78579      120.9973      143.8741,-0.004573822   -0.01500702      143.8741,-45,6.25,
21:49:49:50,139,25.875,0.99999  0.00025869  0.00011042  -0.0038892,0.029595    0.012769    -0.44567,-0.0020866   0.0096588   -0.011429,-0.0021858 -1.5259e-05   0.0054817,-0.0042305   0.0050468      9.7969,0  0  0,24.78579      120.9973      143.9023,-0.006961823   -0.01269531      143.9023,-48,6.5,
21:49:49:83,140,25.875,0.99999  0.00024118  0.00015672  -0.0041258,0.027563    0.018073    -0.47278,-0.0025234    0.011459   -0.014214,-0.0079117  -0.0010881   0.0017538,-0.011024   0.0035324      9.7891,0  0  0,24.78579      120.9973      143.8757,-0.008735657  -0.008979797      143.8757,-49,7,
21:49:50:17,141,25.875,0.99999  0.00023924  0.00013479  -0.0041467,0.02735     0.01556    -0.47518,-0.0020275    0.012497   -0.016251,-0.0071259   -0.003582  -0.0018921,-0.0098953   0.0010548      9.7891,0  0  0,24.78579      120.9973      143.8897,-0.01246643  -0.007919312      143.8897,-48,6.5,
21:49:50:51,142,25.875,0.99999  0.00023352  0.00012735   -0.004194,0.026698    0.014705    -0.48059,-0.0024662    0.011635   -0.013809,-0.0079727    -0.00284   0.0042992,-0.010521   0.0016365      9.7969,0  0  0,24.78579      120.9973      143.8582,-0.01690674  -0.005088806      143.8582,-46,6,
21:49:50:85,143,25.875,0.99999  0.00019303  0.00015526   -0.004264,0.022043    0.017885    -0.48861,-0.0020847   0.0090408   -0.010529,-0.004261   0.0086288   0.0073814,-0.0071945    0.012383      9.7969,0  0  0,24.78579      120.9973      143.8318,-0.0201416 -0.0002371073      143.8318,-47,6.5,
21:49:51:19,144,25.875,0.99999    0.000198  0.00018707  -0.0043318,0.022596    0.021535    -0.49638,-0.001976     0.01091   -0.013168,0.002758  -0.0045586   0.0092468,-0.00086975 -0.00064135      9.7969,0  0  0,24.78579      120.9973      143.8268,-0.02285767 -0.0004720688      143.8268,-52,7,
21:49:51:53,145,25.875,0.99999  0.00016271  0.00021983  -0.0044507,0.018532    0.025273    -0.51002,-0.0029716    0.013611   -0.017227,0.00080299   0.0042076   0.0043907,-0.0038033   0.0073128      9.7969,0  0  0,24.78579      120.9973      143.7865,-0.0246582    0.00428009      143.7865,-49,6.5,
21:49:51:87,146,25.875,0.99999  0.00015482  0.00017164  -0.0043898,0.017654    0.019747    -0.50303,-0.0017338    0.010307   -0.013496,0.0037766  -0.0011473   0.0063972,0.00048637   0.0019569      9.7969,0  0  0,24.78579      120.9973      143.7503,-0.02558899   0.007034302      143.7503,-48,6.5,
21:49:52:21,147,25.8281,0.99999  0.00014187  0.00021326  -0.0045281,0.016146    0.024511    -0.51888,-0.002655    0.013138    -0.01619,-0.00099754   0.0034599   0.0042953,-0.0054207   0.0061722      9.7969,0  0  0,24.78579      120.9973       143.708,-0.02656555    0.00957489       143.708,-42,6.25,
21:49:52:55,148,25.8281,0.99999  0.00016845  0.00011595  -0.0044194,0.019244    0.013372    -0.50643,-0.0019293    0.009491   -0.011551,-0.009079  -0.0064049   0.0041847,-0.011147  -0.0031624      9.7969,0  0  0,24.78579      120.9973      143.6468,-0.02778625     0.0114975      143.6468,-35,6,
21:49:52:89,149,25.8281,0.99999  0.00018242  0.00011769  -0.0044198,0.020844    0.013579    -0.50647,-0.0023422    0.011169   -0.013123,-0.012985  9.2864e-05  -0.0049477,-0.015312   0.0035305      9.7813,0  0  0,24.78579      120.9973      143.6139,-0.02703857   0.009674072      143.6139,-39,7,
21:49:53:23,150,25.8594,0.99999  0.00019224  0.00011045  -0.0044696,0.021972    0.012755    -0.51218,-0.0022926    0.011086   -0.013985,0.0015221  0.00025964  -0.0063782,-0.00066042   0.0040207      9.7813,0  0  0,24.78579      120.9973      143.5822,-0.02577209   0.007358551      143.5822,-38,6.25,
