altitude,north,east
19,1.7320508075688772,1.0000000000000002
76,2.614025194192165,1.003430258726841
242,5.180212430077077,0.45320986228782134
605,7.795248450748947,0.272216074279507
768,7.36220387585748,1.4310674653240854
1176,6.913818384165964,1.0950412552816151
1490,5.18418228388917,-1.1019319613341243
1502,5.08636752381579,-1.0811407922523484
1536,4.82555798975982,-0.8508760705679584
1579,4.5992993977194,-0.08028106961150382
1732,5.115854562798565,2.277725201224481
2703,2.52669240662314,2.2750440616201177
2762,3.222582765394419,2.013693204086178
3060,4.871850323926176,1.1247552717193248
3153,5.286939327660754,1.5160054569934944
3349,4.822144735556515,1.6603975877314994
3366,4.698463103929543,1.7101007166283433
3441,4.330127018922193,2.5000000000000004
3609,2.7500000000000027,4.7631397208144115
3706,2.4515486985935535,4.811435230617186
4602,3.37016412965147,4.472358856264839
5152,4.579459719244701,2.861564026859306
5241,4.255258069476299,3.3245719667585543
5349,3.5966990016932554,3.4732918522949867
5892,1.9996953903127825,0.03490481287456727
6443,0.8769330583067118,0.2024559489094785
7624,-0.6000000000000001,1.0392304845413263
7977,0.18712052173598342,-0.8803328406604252
8693,0.16269465723032012,-0.3654181830570404
8716,0.09902680687415703,0.013917310096006552
8823,2.3287097430623915,0.580612549439202
8996,2.014509274331092,2.0860854209820885
9757,0.9096032741960969,-3.172163596596452
9930,0.7814167995011864,-4.431634888554936
9938,0.8586404791944516,-4.417322325514488
10755,-0.9563937777616934,-4.4994789633755055
11039,-2.5053395610691243,-3.8578846125489505
11323,-2.626694182041276,-4.371553233580773
11509,-2.5820935953224,-4.856211760724098
12063,-2.174079978861174,-8.113776940828174
12251,-4.366085533908786,-8.21141261358802
12257,-4.366085533908786,-8.21141261358802
12436,-1.9411428382689055,-7.244443697168013
12537,-2.322560879178654,-5.748539898314082
12883,-0.6337205857067669,-5.1612399885348745
13054,-1.1419715947936857,-7.210124886344506
13185,-0.8447461112172471,-5.333517039213744
13354,-3.199743493625825,-5.772490067120011
13750,-3.1580110982344203,-9.171530183313372
13850,-2.298258008196843,-9.217809399621967
14092,-2.63355510360765,-7.235633180051495
14286,-6.547184256599985,-7.020995535544036
14352,-6.615384092606234,-7.094130905705953
14884,-5.5919290347074675,-8.290375725550417
15079,-3.942047444998304,-10.269384691469218
15137,-3.7987002651801838,-9.895952520870338
15497,0.4396220324407283,-8.38848809193842
15650,-0.8362277061412277,-7.956175162946186
15952,-7.433782124681233,-7.971755347648958
16466,-5.5441775825554975,-13.722321047588455
16737,-5.209090471314508,-15.128297209589068
16743,-5.209090471314508,-15.128297209589068
17232,-8.891167165184875,-13.181697403625163
17375,-7.793227942245789,-14.656930041458187
17596,-4.7105066208658775,-17.579850038461043
18033,-10.783852893297537,-16.605677245319395
18317,-1.8919651851445278,-18.000846306165748
18580,-10.257922374112352,-12.667479171748626
18775,-10.28914942386174,-15.254291335012766
19037,-5.235797121756268,-12.334765036262702
19085,-4.6825824176988995,-11.589798182084843
19461,-9.80958487737839,-13.017758813770874
19759,-0.2600408559155256,-14.89773065783023
20072,-0.19895743338503302,-11.398263724782861
20353,-1.5365684100345058,-14.619471861913617
20526,-1.9397873664988636,-12.247335423379708
20754,-8.63375993398884e-16,-14.1
20777,-8.572527594031472e-16,-14.0
20948,-3.5562518653151147,-14.263347176257147
21041,-1.937722560141845,-15.78148381109702
21115,-9.797174393178826e-16,-16.0
21865,6.379239245411712,-8.465536406501302
22190,2.366031542669156,-12.172177074751033
22611,-0.2617462252687581,-7.495431202643219
22725,-0.3244829287062526,-6.1915031154783575
22966,-1.9588904216423364,-6.407241864952337
23373,-2.609432230388833,-11.302692751508728
23455,-2.0416562505290305,-10.503410862890004
23864,-8.786499338019906,-11.660078446690475
23940,-9.16944993576258,-12.62066511224918
24136,-6.384813253888115,-12.008087262881405
24447,-12.08705564598655,-12.516512525892528
24615,-11.127382865210295,-15.89154965920644
24916,-2.7094877343469377,-13.939106004956828
25174,-0.4500892236893181,-8.588213998889335
25239,-1.0480763532842683,-8.535896904115368
25440,-2.952954217699641,-9.658678035226657
26111,-0.7735106281806357,-7.359462025725223
26658,2.9744539812259925,-7.748717539926775
