altitude,north,east
19,-1.5320888862379556,1.2855752193730792
102,-2.448935179990308,1.3574669366897432
686,-2.7985587173162054,-1.748733571969576
785,-2.642296268953701,-2.139689329569447
963,-1.6603610764900987,-1.443329863779116
1252,-1.62571808513716,0.49703189802865316
1322,-1.3980813486564032,0.0732703387401221
1479,-0.4141104721640325,1.5454813220625097
1513,-0.4104241719908028,1.12763114494309
1585,-0.27279934402499945,0.29254148064766816
1620,0.0,-0.0
1703,0.6062177826491071,-0.3499999999999999
1810,0.6474058203047861,-0.6251925334130974
2017,1.7358320345123754,-1.5089357666781666
2456,1.608978143562175,-1.500396392137497
2748,-1.0382261630614806,0.7823595300976628
2840,-2.098720736740101,0.07328894307525173
2854,-2.1946409105716134,-0.15346424223707567
2869,-2.3704520174283306,-0.37544271609655405
2884,-2.543183761907895,-0.5405703961261743
2932,-3.299005469338388,-0.8225344450388703
3003,-4.92403876506104,-0.8682408883346516
3077,-5.810365742772028,-1.024524248234889
3151,-4.948508204007582,-1.2338016675583054
3154,-4.948508204007582,-1.2338016675583054
3214,-3.1720772546282747,-1.4791639160924481
4578,4.416729559300637,-2.5499999999999994
4729,5.061985373370741,-0.6215336513662525
5019,4.503032723580527,2.3943049702080432
5470,4.811435230617187,2.451548698593552
5909,3.7536177712829923,3.1496592874640426
6197,-0.22574263096700897,1.2802500789158706
6831,-2.8368387129841994,2.2163813111723694
7642,2.6328733258290136,-2.455194096224995
7822,4.285836503510561,-2.5751903745502718
7835,4.24024048078213,-2.6495963211660243
8286,1.1922405880224847,-5.164161343361747
8535,4.871676611288486,-3.6710716412274937
8833,4.938441702975688,-0.7821723252011549
9118,5.359749218863139,-0.6580944543877968
9325,6.372078659177529,-2.070413862312148
9373,6.535062985480412,-2.5085756468171017
9688,4.996827470162851,-3.49881626174138
9767,3.8761746185816035,-3.614591308331242
9784,3.5427576893408865,-3.66863298172712
10252,-4.988552763742408,1.0603496231705754
10407,-6.34834690018097,2.4369020569080453
10443,-6.524078171635287,2.2464202657543813
10697,-5.383065497254585,-1.5435691925751953
11048,-1.2678547852220983,-2.7189233611099497
12302,-1.5794532015435785,-2.4321446470417296
12351,-1.6427497191229352,-2.6289490980849206
12373,-1.748733571969576,-2.7985587173162054
12538,-3.3978713763747797,-2.4686980596283874
12904,-2.609609364799547,-2.8982648193618377
13101,-3.471053092307313,-4.136639992842482
13556,-5.739159353583025,-3.05156515810829
14192,-5.978543714973457,-7.382886633841224
14250,-5.448976145334939,-7.781944420745422
14352,-6.691306063588582,-7.431448254773942
14543,-8.54860557602668,-6.922524301548211
15065,-13.141462912031423,-6.127964795240142
15103,-13.429118227346232,-5.979028653214263
15332,-13.02451750419497,-9.119865337981633
15433,-13.762023704413693,-9.2826021976144
15717,-5.633658753430691,-10.595371114307122
15844,-5.963158329029947,-10.757822397814568
16349,-4.301823272632846,-6.143640332167439
16526,-2.235692848624295,-4.583849636125752
16730,-1.5089357666781666,-1.7358320345123754
16734,-1.5089357666781666,-1.7358320345123754
16999,-2.198659819442011,-0.07677889274550213
17749,-1.4627074032383414,1.3639967201249965
18039,-0.3105828541230249,-1.159110991546882
18271,-6.628421028130132,-2.5444124417716316
18440,-3.042851484533036,-6.52541606666388
18727,-5.796986060531237,-6.216506463762949
18755,-6.289827699773268,-6.985561359487506
18888,-3.870373855089244,-10.08266860616978
19109,3.6823176330282514,-7.549869988913002
19636,4.411576183621719,-6.793231600357934
19864,1.9120839619228527,-8.2821455506745
20155,1.2597259043256441,-5.456472362797317
20755,0.9303033230821167,-8.851244868777632
20802,0.4971915843079665,-9.486980580168451
20900,1.8508472551524844,-9.52178367944234
21011,3.0603406518972727,-8.88787461063358
21586,-2.6741819360707284,-15.166039396388005
21665,-2.0736792043049754,-14.7549942242494
21861,2.619687304303768,-12.324659769245951
22149,-1.0452846326765346,-9.945218953682733
22431,3.5767217640674542,-15.49248403008524
22519,5.036977008311642,-15.502221215611005
22582,5.540726321875833,-15.223020456731716
22887,5.50930891169876,-12.979118433679407
23073,0.8279795561027532,-9.463849631871582
23291,1.9837595439172757,-7.95642495546317
23400,0.38728607619778443,-7.389858557183847
23884,-4.319138377630195,-8.123117854302127
23924,-5.098876941609537,-8.485956276950912
23949,-5.617144200871972,-8.989309819258114
24350,-2.6658361645559636,-9.949036010777405
24818,-7.1992212284892405,-8.579697762932554
25291,-6.624393002952697,-7.357133772226203
25858,-7.699333629688609,-14.480340522886399
26159,-4.71987797789423,-12.967758166845535
26572,-6.0561831599379925,-11.390023947880158
26697,-6.526011638451978,-8.352913988231252
26816,-6.613988946748809,-5.955262396593839
27347,-7.823595300976629,-10.382261630614806
27608,-3.035510685939288,-14.28095497071356
27654,-2.56999302947057,-14.57515474458068
28123,-8.823152367243438,-13.586463200715869
28985,-3.856403772027559,-14.392294811707119
29707,-3.0974024077965723,-19.556229143783728
30211,-8.950000000000001,-15.50185472774145
30864,-5.225512944952822,-20.958387687561526
31524,-4.480463877566262,-12.3099733322954
